Designator,Mid X,Mid Y,Rotation,Layer
H1,23.341878,-23.292342,0.0,top
H2,166.781218,-23.256682,0.0,top
H3,23.306218,-121.731682,0.0,top
H4,166.781218,-121.731682,0.0,top
L_J1,151.2,-56.8,45.0,top
L_RSW1,163.0,-58.975,90.0,top
L_SW1,141.85,-21.93,180.0,top
S1,34.5,-34.5,0.0,top
S10,91.5,-53.5,0.0,top
S11,110.5,-53.5,0.0,top
S12,129.5,-53.5,0.0,top
S13,34.5,-72.5,0.0,top
S14,53.5,-72.5,0.0,top
S15,72.5,-72.5,0.0,top
S16,91.5,-72.5,0.0,top
S17,110.5,-72.5,0.0,top
S18,129.5,-72.5,0.0,top
S19,34.5,-91.5,0.0,top
S2,53.5,-34.5,0.0,top
S20,53.5,-91.5,0.0,top
S21,72.5,-91.5,0.0,top
S22,91.5,-91.5,0.0,top
S23,110.5,-91.5,0.0,top
S24,129.5,-91.5,0.0,top
S25,34.5,-110.5,0.0,top
S26,53.5,-110.5,0.0,top
S27,72.5,-110.5,0.0,top
S28,91.5,-110.5,0.0,top
S29,110.5,-110.5,0.0,top
S3,72.5,-34.5,0.0,top
S30,129.5,-110.5,0.0,top
S4,91.5,-34.5,0.0,top
S5,110.5,-34.5,0.0,top
S6,129.5,-34.5,0.0,top
S7,34.5,-53.5,0.0,top
S8,53.5,-53.5,0.0,top
S9,72.5,-53.5,0.0,top
U1,155.63,-37.94,0.0,top
